check,metric,value
duplicate_ride_ids,duplicate_ride_id_groups,0
duplicate_ride_ids,duplicate_rows_total,0
duplicate_ride_ids,pct_rows_affected,0.0
duplicate_ride_ids,verdict,PASS
missing_stations,null_start_station_key,1502107
missing_stations,null_end_station_key,1550226
missing_stations,orphan_start_station_refs,0
missing_stations,orphan_end_station_refs,0
missing_stations,dim_station_missing_name,0
missing_stations,dim_station_missing_coords,0
missing_stations,pct_rows_affected,29.0692
missing_stations,verdict,FAIL
invalid_timestamps,null_started_at,0
invalid_timestamps,null_ended_at,0
invalid_timestamps,started_at_gte_ended_at,0
invalid_timestamps,outside_program_date_range,0
invalid_timestamps,total_invalid_timestamp_rows,0
invalid_timestamps,pct_rows_affected,0.0
invalid_timestamps,verdict,PASS
negative_durations,non_positive_duration_rows,0
negative_durations,duration_mismatch_vs_recomputed,171
negative_durations,tolerance_minutes,0.5
negative_durations,pct_rows_affected,0.0021
negative_durations,verdict,PASS
impossible_coordinates,impossible_lat_lng_rows,0
impossible_coordinates,null_island_0_0_rows,0
impossible_coordinates,out_of_chicago_service_area_rows,0
impossible_coordinates,any_null_coordinate_rows,9379
impossible_coordinates,pct_rows_affected,0.0
impossible_coordinates,verdict,PASS
null_percentages,max_null_pct,29.069
data_completeness,overall_completeness_score,93.64
data_completeness,missing_calendar_days_in_dim_date,0
data_completeness,days_with_zero_rides,426
data_consistency,orphan_start_date_refs,0
data_consistency,orphan_end_date_refs,0
data_consistency,orphan_ride_type_refs,0
data_consistency,orphan_member_type_refs,0
data_consistency,day_of_week_mismatches,1487538
data_consistency,month_partition_mismatches,54089
data_consistency,start_date_key_mismatches,1487538
data_consistency,is_round_trip_mismatches,0
data_consistency,total_consistency_issues,3029165
data_consistency,pct_rows_affected,37.8646
data_consistency,verdict,FAIL
quality_score,overall_score,90.8
quality_score,overall_grade,A
