date,forecast,lower,upper,member_forecast,casual_forecast
2026-09-01,27963.474957340928,23775.49061364149,32370.353705421956,18062.058778387214,9864.692078783948
2026-09-02,28440.99412352284,24022.070972471138,32785.354314896256,18278.397445434763,10124.835580703691
2026-09-03,28666.575371857027,24069.71864177786,32947.35338944161,18187.648086205805,10440.14603666022
2026-09-04,28981.418491430726,24308.23869392475,33059.5368210715,17367.965000230284,11573.767648159588
2026-09-05,30058.021804357904,25909.804390081426,34215.34795321707,16238.608368740846,13778.96668020787
2026-09-06,27117.861998958942,22841.683405087075,31672.527396174217,14979.094730133584,12097.208634302031
2026-09-07,27505.04021736243,23265.19547832244,32066.551052379258,17360.86644572102,10101.765592803356
2026-09-08,28528.427743766,24135.394837637203,33001.24065441876,18524.106397788222,9960.828642127273
2026-09-09,28946.224913033235,24887.220859918387,33194.307791477615,18742.072227753073,10159.923951672354
2026-09-10,29108.418325366634,24471.14307952235,33326.67977274128,18651.176185880504,10412.365676037103
2026-09-11,29357.551718094797,25222.036376738182,33398.95477892721,17829.35425270949,11482.854597797803
2026-09-12,30367.382895328934,25969.068636007145,34597.07631572063,16695.59436614336,13626.181846261225
2026-09-13,27360.524116168286,23104.623686630694,31522.863456847288,15429.093527555622,11885.26015508028
2026-09-14,27682.05380982272,23211.682644867975,31759.15697902735,17800.936535125496,9834.687748301167
2026-09-15,28641.63403019996,24275.475856923957,32935.33433464866,18950.92234511744,9643.821065221535
2026-09-16,28998.048140070307,24775.34046090013,33653.90943841896,19151.91204066122,9799.156094626724
2026-09-17,29101.644458573806,24797.791414483923,33471.02610866486,19039.924074006187,10014.752534179112
2026-09-18,29295.101627656884,24772.071499335612,33454.59356127556,18192.51996964763,11055.810564169795
2026-09-19,30252.088246872438,25903.376952694314,34426.858015301994,17028.349796848306,13177.3602398222
2026-09-20,27194.91406429407,22620.789926987898,31371.427579455896,15726.326621302094,11422.286410562869
2026-09-21,27468.160220153473,22793.82861214028,31568.226641244375,18057.32209934854,9364.894464038902
2026-09-22,28380.822335896417,24438.56793281179,32768.87687602432,19161.00862703718,9173.993069426822
2026-09-23,28690.880088902602,24350.01191045395,32973.86906428391,19310.221449547767,9335.293410929376
2026-09-24,28747.777952113673,24643.35219731481,32719.310571003665,19141.065855187164,9561.858611254105
2026-09-25,28893.231626902998,24773.705007360717,33236.52818275307,18231.312149336918,10617.712396552419
2026-09-26,29799.931355714853,25476.367285762255,34189.226064242335,16999.947290527754,12756.566068716915
2026-09-27,26689.23794522339,22478.095089454648,31035.64578968084,15626.352052502441,11019.885581405571
2026-09-28,26904.857490712282,22639.7801503831,31444.39658744136,17881.995622335053,8980.50276488479
