file,status,error,rows_in,dropped_missing_ride_id,dropped_duplicate_ride_id,dropped_unparseable_timestamps,dropped_non_positive_duration,filled_missing_rideable_type,filled_missing_member_casual,flagged_anomalous,flagged_short_trips,flagged_long_trips,flagged_out_of_bounds_coords,rows_out,fact_rows_inserted
202401-divvy-tripdata.csv,success,,144873,0,0,0,97,0,0,4568,4239,329,0,144776,0
202402-divvy-tripdata.csv,success,,223164,0,0,0,28,0,0,4321,3953,368,0,223136,0
202403-divvy-tripdata.csv,success,,301687,0,0,0,106,0,0,6897,6482,415,0,301581,0
202404-divvy-tripdata.csv,success,,415025,0,0,0,188,0,0,10524,10007,517,0,414837,0
202405-divvy-tripdata.csv,success,,609493,0,0,0,261,0,0,16139,15313,825,1,609232,0
202406-divvy-tripdata.csv,success,,710721,0,0,0,16,0,0,18731,17550,1179,2,710705,0
202407-divvy-tripdata.csv,success,,748962,0,0,0,9,0,0,17544,16421,1121,2,748953,0
202408-divvy-tripdata.csv,success,,755639,0,0,0,13,0,0,17986,16892,1050,44,755626,0
202409-divvy-tripdata.csv,success,,821276,0,0,0,8,0,0,21049,20252,783,14,821268,0
202410-divvy-tripdata.csv,success,,616281,0,0,0,13,0,0,11377,10769,594,14,616268,0
202411-divvy-tripdata.csv,success,,335075,0,0,0,47,0,0,5632,5358,274,0,335028,0
202412-divvy-tripdata.csv,success,,178372,0,0,0,0,0,0,3484,3343,141,0,178372,0
202501-divvy-tripdata.csv,success,,138689,0,0,0,1,0,0,2908,2839,69,0,138688,0
202502-divvy-tripdata.csv,success,,151880,0,0,0,4,0,0,2777,2717,60,0,151876,0
202503-divvy-tripdata.csv,success,,298155,0,0,0,13,0,0,6791,6540,251,0,298142,0
202504-divvy-tripdata.csv,success,,371341,0,0,0,8,0,0,8165,7865,300,0,371333,0
202505-divvy-tripdata.csv,success,,502456,0,0,0,14,0,0,12888,12325,563,0,502442,0
202506-divvy-tripdata.csv,success,,678904,0,0,0,19,0,0,20560,19575,983,2,678885,0
202507-divvy-tripdata.csv,success,,763432,0,0,0,20,0,0,24548,23569,978,1,763412,0
202508-divvy-tripdata.csv,success,,790177,0,0,0,26,0,0,23581,22879,702,0,790151,0
202509-divvy-tripdata.csv,success,,714759,0,0,0,12,0,0,18856,18238,618,0,714747,0
202510-divvy-tripdata.csv,success,,646039,0,0,0,5,0,0,17574,16975,599,0,646034,0
202511-divvy-tripdata.csv,success,,356628,0,0,0,34,0,0,9833,9496,337,0,356594,0
202512-divvy-tripdata.csv,success,,140534,0,0,0,2,0,0,4073,3948,125,0,140532,0
202601-divvy-tripdata.csv,success,,137787,0,0,0,8,0,0,4019,3828,191,0,137779,0
202602-divvy-tripdata.csv,success,,201450,0,0,0,1,0,0,4130,4013,117,0,201449,0
202603-divvy-tripdata.csv,success,,317037,0,0,0,7,0,0,8517,8251,266,0,317030,0
202604-divvy-tripdata.csv,success,,448252,0,0,0,8,0,0,12733,12379,354,0,448244,0
202605-divvy-tripdata.csv,success,,653704,0,0,0,9,0,0,18298,17724,573,1,653695,0
202606-divvy-tripdata.csv,success,,762550,0,0,0,19,0,0,21124,20444,679,1,762531,0
202607-divvy-tripdata.csv,success,,869051,0,0,0,25,0,0,23023,22242,780,1,869026,0
