station_id,station_name,rides_started,rides_ended,net_outflow,total_activity
CHI01747,Navy Pier,101694,101443,251,203137
13022,Streeter Dr & Grand Ave,76196,77798,-1602,153994
CHI00374,DuSable Lake Shore Dr & Monroe St,57367,55197,2170,112564
CHI00252,Michigan Ave & Oak St,53346,53120,226,106466
CHI00525,DuSable Lake Shore Dr & North Blvd,51517,53808,-2291,105325
KA1503000043,Kingsbury St & Kinzie St,52531,51996,535,104527
13300,DuSable Lake Shore Dr & Monroe St,51622,50312,1310,101934
LF-005,DuSable Lake Shore Dr & North Blvd,44595,48655,-4060,93250
13042,Michigan Ave & Oak St,45584,45808,-224,91392
WL-012,Clinton St & Washington Blvd,44187,44888,-701,89075
TA1307000039,Clark St & Elm St,43899,43260,639,87159
CHI00299,Kingsbury St & Kinzie St 1,43587,42802,785,86389
CHI00420,Theater on the Lake,42267,44013,-1746,86280
TA1305000032,Clinton St & Madison St,41801,43148,-1347,84949
CHI00396,Wells St & Concord Ln,39109,39353,-244,78462
CHI01772,State St & Chicago Ave,39120,39326,-206,78446
13008,Millennium Park,38842,39446,-604,78288
TA1308000050,Wells St & Concord Ln,38905,39337,-432,78242
CHI00498,Canal St & Madison St,39005,38732,273,77737
CHI01742,Millennium Park,38565,38554,11,77119
KA1504000135,Wells St & Elm St,37682,37493,189,75175
CHI00540,Wells St & Elm St,37706,37322,384,75028
CHI00281,Clark St & Elm St,36190,35436,754,71626
13341,Canal St & Madison St,35354,35910,-556,71264
CHI00233,Clinton St & Madison St,35448,35289,159,70737
CHI00474,Clark St & Armitage Ave,34801,34914,-113,69715
TA1308000001,Theater on the Lake,33901,35025,-1124,68926
638,Clinton St & Jackson Blvd,33946,34926,-980,68872
KA1503000071,University Ave & 57th St,34201,34521,-320,68722
21544,State St & Chicago Ave,34123,34420,-297,68543
CHI00413,Clark St & Lincoln Ave,33862,34146,-284,68008
CHI00294,Wells St & Huron St,34874,32827,2047,67701
13045,Dearborn St & Erie St,33575,32943,632,66518
CHI01091,Clinton St & Jackson Blvd,32784,32769,15,65553
CHI00332,Wells St & Hubbard St,33287,32037,1250,65324
CHI00330,McClurg Ct & Ohio St,32314,32027,287,64341
SL-005,Indiana Ave & Roosevelt Rd,32188,31925,263,64113
TA1307000117,Wabash Ave & Grand Ave,31711,32013,-302,63724
13146,Clark St & Armitage Ave,30737,31157,-420,61894
CHI00279,New St & Illinois St,30908,30013,895,60921
CHI00313,Wabash Ave & Grand Ave,30631,30049,582,60680
13001,Michigan Ave & Washington St,30216,30307,-91,60523
KA1503000014,Ellis Ave & 60th St,30225,29952,273,60177
TA1307000134,Wilton Ave & Belmont Ave,29900,30253,-353,60153
15544,Shedd Aquarium,30496,29506,990,60002
13179,Clark St & Lincoln Ave,29710,30240,-530,59950
TA1307000151,Wells St & Hubbard St,29930,29796,134,59726
CHI00531,Dusable Harbor,30066,29338,728,59404
13011,Canal St & Adams St,29435,29764,-329,59199
KA1503000064,Dusable Harbor,29694,29137,557,58831
CHI00306,Dearborn Pkwy & Delaware Pl,29296,29373,-77,58669
CHI00533,Shedd Aquarium,29669,28374,1295,58043
13137,Broadway & Barry Ave,28626,29366,-740,57992
CHI00517,Desplaines St & Kinzie St,30034,27917,2117,57951
CHI00509,Clinton St & Washington Blvd,28957,28955,2,57912
CHI00427,Montrose Harbor,28364,28799,-435,57163
TA1307000128,Dearborn Pkwy & Delaware Pl,28436,28602,-166,57038
13430,LaSalle St & Illinois St,28847,28121,726,56968
TA1306000003,Desplaines St & Kinzie St,29826,27090,2736,56916
TA1306000010,Daley Center Plaza,27834,29030,-1196,56864
CHI01677,Michigan Ave & Washington St,28512,28287,225,56799
CHI00358,LaSalle St & Illinois St,29036,27728,1308,56764
TA1306000009,Larrabee St & Kingsbury St,28928,27822,1106,56750
CHI00493,DuSable Lake Shore Dr & Diversey Pkwy,27939,28696,-757,56635
CHI00553,Michigan Ave & Lake St,28514,27944,570,56458
CHI00345,Columbus Dr & Randolph St,29508,26490,3018,55998
CHI00450,Indiana Ave & Roosevelt Rd,28557,27174,1383,55731
TA1306000012,Wells St & Huron St,28140,27229,911,55369
TA1306000013,New St & Illinois St,27576,27648,-72,55224
TA1306000029,McClurg Ct & Ohio St,27370,27645,-275,55015
CHI00353,Wilton Ave & Belmont Ave,27351,27572,-221,54923
TA1305000011,Michigan Ave & Lake St,27241,27227,14,54468
CHI02028,Kingsbury St & Erie St,27479,26390,1089,53869
CHI00496,Broadway & Waveland Ave,26771,26919,-148,53690
23003,Halsted St & Fulton St,26686,26803,-117,53489
CHI00430,Broadway & Cornelia Ave,26668,26683,-15,53351
TA1305000002,Wabash Ave & Roosevelt Rd,26400,26488,-88,52888
TA1305000022,Orleans St & Merchandise Mart Plaza,26521,25455,1066,51976
13263,Columbus Dr & Randolph St,27603,24372,3231,51975
CHI00367,Orleans St & Merchandise Mart Plaza,26117,25432,685,51549
13021,Clinton St & Lake St,25991,25533,458,51524
TA1306000016,Sheffield Ave & Fullerton Ave,25761,25559,202,51320
KA1504000076,Ellis Ave & 55th St,25569,25727,-158,51296
TA1307000120,Green St & Madison St,25204,25867,-663,51071
13265,Kingsbury St & Erie St,26348,24590,1758,50938
CHI00524,Wabash Ave & Roosevelt Rd,25049,25416,-367,50465
13061,Ashland Ave & Division St,25032,25351,-319,50383
CHI00508,Ravenswood Ave & Lawrence Ave,25281,25096,185,50377
CHI01743,Canal St & Adams St,25587,24765,822,50352
TA1309000039,DuSable Lake Shore Dr & Diversey Pkwy,24707,25437,-730,50144
CHI01161,Halsted St & Clybourn Ave,25118,24882,236,50000
CHI00354,Pine Grove Ave & Waveland Ave,24946,24929,17,49875
CHI00551,University Ave & 57th St,24994,24680,314,49674
CHI00245,Larrabee St & Kingsbury St 1,25346,24170,1176,49516
TA1305000006,Dearborn St & Monroe St,24583,24779,-196,49362
TA1305000014,Clark St & Wrightwood Ave,24463,24837,-374,49300
13278,Broadway & Cornelia Ave,24544,24691,-147,49235
CHI00253,Daley Center Plaza,24863,24347,516,49210
13325,Broadway & Waveland Ave,24403,24790,-387,49193
CHI00390,Broadway & Barry Ave,24332,24835,-503,49167
331,Halsted St & Clybourn Ave,24237,24496,-259,48733
KA1503000012,Clark St & Lake St,24686,23677,1009,48363
CHI00347,Green St & Madison St,23843,24196,-353,48039
TA1309000066,Ravenswood Ave & Lawrence Ave,23678,23688,-10,47366
CHI01746,Clinton St & Lake St,23892,23403,489,47295
